,id,value
0,id_0,23.32305226854115
1,id_1,50.82614869629695
2,id_2,17.77000239311293
3,id_3,24.89630869504651
4,id_4,9.889757236417564
5,id_5,30.20534994748676
6,id_6,33.08040361933088
7,id_7,14.607728836398692
8,id_8,39.90359094134037
9,id_9,28.58558051280597
10,id_10,32.7253711399591
11,id_11,48.478543784626474
12,id_12,31.210717367031936
13,id_13,34.672179672437025
14,id_14,23.324758635236226
15,id_15,11.777461250006
16,id_16,43.56339966211644
17,id_17,20.068349150448526
18,id_18,17.067590917463157
19,id_19,17.752333756018338
20,id_20,13.840634760303042
21,id_21,24.13823831908951
22,id_22,31.791677173607866
23,id_23,9.71494937586433
24,id_24,48.007508756283
25,id_25,37.22058650278754
26,id_26,24.40589072920225
27,id_27,9.022761282992958
28,id_28,25.230757761316987
29,id_29,30.483623164294276
30,id_30,16.79885415192094
31,id_31,11.468307783338911
32,id_32,14.966465129055809
33,id_33,7.921528401350596
34,id_34,16.337727679762825
35,id_35,32.62595627196052
36,id_36,17.319025099604957
37,id_37,24.136585284096096
38,id_38,6.849032495420792
39,id_39,49.44541055268619
40,id_40,38.964248077472185
41,id_41,15.065209480790362
42,id_42,41.2886098060797
43,id_43,16.472765425877785
44,id_44,36.883771221032234
45,id_45,42.47151358805468
46,id_46,50.959021702849356
47,id_47,33.66273858304278
48,id_48,42.403968927951745
49,id_49,35.191318851606695
50,id_50,25.955979080367452
51,id_51,21.655524249736068
52,id_52,34.54402391811377
53,id_53,22.45863328562995
54,id_54,32.08608155878777
55,id_55,33.448949656187686
56,id_56,21.931559849113192
57,id_57,19.23425002742735
58,id_58,31.57392887776648
59,id_59,26.63107115914245
60,id_60,13.927829004062422
61,id_61,19.99120567955378
62,id_62,26.70179828503798
63,id_63,45.52485507580884
64,id_64,41.29162890045118
65,id_65,23.08004458455761
66,id_66,34.88636291997848
67,id_67,44.86021824517135
68,id_68,24.212273906497096
69,id_69,33.01824742892964
70,id_70,53.03422355621297
71,id_71,44.0741011710745
72,id_72,36.88787116722131
73,id_73,10.796595510467089
74,id_74,11.913789617871965
75,id_75,30.950232442082036
76,id_76,50.30534199452698
77,id_77,4.243048451125084
78,id_78,37.686155920407074
79,id_79,34.31486169405958
80,id_80,8.273480603528256
81,id_81,19.513565716901486
82,id_82,7.847746804930853
83,id_83,28.769420984351953
84,id_84,10.548561769536759
85,id_85,5.904219589576257
86,id_86,14.719969694285389
87,id_87,10.918218313202992
88,id_88,12.028055945487646
89,id_89,23.706116917231068
90,id_90,25.97030820053633
91,id_91,10.718444877204725
92,id_92,12.627489981820876
93,id_93,8.006901490017004
94,id_94,30.5694997647504
95,id_95,14.301545960101906
96,id_96,14.307372222689239
97,id_97,8.677173506976128
